client_id,Entreprise,Siret,Adresse,CP,Ville
CL0001,"Pâtisserie, salon de thé SINGULIER",82365956000036,17 Place Victor Hugo 31000 Toulouse,31000,Toulouse
CL0002,SAS VALMONT,43297153900015,16 PL SAINT GEORGES  31000 Toulouse,31000,Toulouse
CL0003,JVS PATISSERIE,88444989300020,4 lieudit « Mingué » 32220 GAUJAC,32220,Gaujac
CL0004,SAS LUCILES PATISSERIE,90501497300010,9 Place de la Mairie 31140 Pechbonnieu ,31140,Pechbonnieu
CL0005,LE PETIT TRIANON ,87839289300011,3 rue Jules Chalande 31000 TOULOUSE,31000,Toulouse
CL0006,SARL BRUMAT,53934782300012,81 RUE PIERRE PAUL RIQUET 31000 TOULOUSE,31000,Toulouse
CL0007,LE TRIO,52138385100016,9 Rue RENE LEDUC 31500 Toulouse,31500,Toulouse
CL0008,LA VERRIERE,85311569900011,7 RUE JOUTX AIGUES - 31000 TOULOUSE,31000,Toulouse
CL0009,Pâtisserie DESMEDT,75055746400013,7 PL DE LA REPUBLIQUE 31120 PORTET-SUR-GARONNE,31120,Portet sur Garonne
CL0010,SARL GELIS,38417103900017,2 RUE JEAN JAURES 31390 CARBONNE ,31390,Carbonne
CL0011,Ô MON GATÔ,49469470600024,4 rue Bel Solelh 31700 CORNEBARRIEU,31700,CORNEBARRIEU
CL0012,SAS ROUSSEU GUILLAUME,90198264500011, 	2 RUE DES COMMERCES 09100 LES PUJOLS ,9100,LES PUJOLS
CL0013,FIEYRE,48862525200017,2 PL DE LA CROIX BLANCHE 31600 EAUNES,31600,EAUNES
CL0014, SARL DOZIERE,43966498800045,53 RTE DE FRONTON 31140 AUCAMVILLE ,31140,AUCAMVILLE 
CL0015, ROUMEGOUS,79867307500015,1 AV DU MARECHAL FOCH 31280 DREMIL-LAFAGE ,31280,DREMIL-LAFAGE 
CL0016, MAISON ALBINET,81226244200013, 51 RUE VICTOR HUGO 31800 SAINT-GAUDENS ,31800,SAINT-GAUDENS
CL0017, GOURMANDISES SANCHEZ,39009194000044,35 B RTE DE TOULOUSE 31700 CORNEBARRIEU ,31700, CORNEBARRIEU 
CL0018, FRED L'ARTISAN BOULANGER,52526850400020,1 AV GERMAINE TILLION 31520 RAMONVILLE-SAINT-AGNE ,31520, RAMONVILLE-SAINT-AGNE 
CL0019,LE PETIT MERLE,83890844000012,13 GR GRAND RUE REMUSAT 31810 VENERQUE ,31810,VENERQUE 
CL0020, POMPON,84170142800010,7 PL DE LA LIBERATION 31600 SEYSSES ,31600, SEYSSES 
CL0021,MAISON ARNOULT,51046109800020,2 RUE DU LAC BLEU 31240 L'UNION ,31240,L'UNION 
CL0022,PATISSERIE ELOI,82887456000018,7 PL DU 11 NOVEMBRE 1918 31620 FRONTON ,31620,FRONTON 
CL0023,UN PETIT GATEAU,87948844300026,3 RUE TEMPONIERES 31000 TOULOUSE ,31000,TOULOUSE
CL0024,YVES JEHANNE PATISSERIE BOULANGERIE,91798562400027,10 AV DE TOULOUSE 31130 BALMA ,31130,BALMA
CL0025,SOCIETE LAUTHIER,39847044300019,93 AV DES PYRENEES 31830 PLAISANCE-DU-TOUCH ,31830,PLAISANCE-DU-TOUCH 
CL0026,PATISSERIE CONTE,39104564800014,37 RUE CROIX BARAGNON 31000 TOULOUSE ,31000,TOULOUSE
CL0027,PATISSERIE BENOIT,42153189800011,9 PL DU MARCHE A LA VOLAILLE 31370 RIEUMES,31370,RIEUMES
CL0028,LE DIAMANT NOIR,43167051200018,33 B AV DE TOULOUSE 31320 CASTANET-TOLOSAN ,31320,CASTANET-TOLOSAN 
CL0029,I ET E VRIGNAUD ,50172263100022,2 AV DES CAPITOULS 31880 LA SALVETAT-SAINT-GILLES ,31880, LA SALVETAT-SAINT-GILLES
CL0030,MONSIEUR SEBASTIEN BAYE,79372014500010,125 RUE DE NEGRENEYS 31200 TOULOUSE ,31200, TOULOUSE 
CL0031, MH LES COTEAUX,90289011000015,49 AV DES PYRENEES 31120 LACROIX-FALGARDE ,31120,LACROIX-FALGARDE
CL0032,N ET L BARBINI,83191022900010,15 CRS COLONEL PETITPIED 09500 MIREPOIX ,9500,MIREPOIX 
CL0033,MAISON DIANT,47879883800015,16 CRS LOUIS PONS TANDE 09500 MIREPOIX ,9500,MIREPOIX
CL0034,PATISSERIE CHOCOLATERIE GALY,52084264200016,5 RUE DE LA CASE 31220 CAZERES,31220,CAZERES
CL0035,SARL AUX MILLE PAINS,40039497900027,21 RUE DU 11 NOVEMBRE 11400 CASTELNAUDARY,11400,CASTELNAUDARY
