programme_id,referentiel_id,nom_programme,duree_heures,objectifs,prerequis,modalites,programme_detail
P0001,R0001,Les macarons en individuel et entremets,16,"A l’issue de la formation les stagiaires seront capables de créer une gamme de macarons, d’adapter les garnitures aux parfums, d’élaborer des macarons en petits fours, en individuel et en entremets.",Niveau CAP Pâtissier ou expérience équivalente,3 rue Caussette 31000 TOULOUSE,"Différencier les diverses manières de faire un macaron
Réaliser des macarons petits fours, individuel et entremets
Réaliser différentes garnitures à base de ganache, compotée, crème au beurre …
Choisir les matières premières et le type de garniture en fonction du parfum
Associer le calcul du coût de revient
Organiser et optimiser la production
Réaliser un buffet avec la présentation des produits en fin de formation"
P0002,R0001,Bûches de Noël,16,"A l’issue de la formation les stagiaires seront capables de créer une gamme de bûches sous différentes formes, bûches roulées, bûches pâtissières ; d’associer les parfums, d’élaborer des bûches en individuel et en entremets",Niveau CAP Pâtissier ou expérience équivalente,3 rue Caussette 31000 TOULOUSE,"Différencier les diverses bûches (roulées, pâtissières)
Appliquer en test et comparer les résultats des différentes recettes
Réaliser différents biscuits, inserts, mousses et glaçages 
Réaliser différentes formes de bûches
Utiliser des moules en silicone
Utiliser un pistolet pour le flocage velours 
Choisir les matières premières et le type de garniture en fonction du parfum"
P0003,R0001,"Viennoiserie : Croissant, chocolatine et déclinaison",16,"A l’issue de la formation les stagiaires seront capables de créer une gamme de viennoiserie, d’adapter les garnitures, d’élaborer des viennoiseries simples et adapter à la production en entreprise.",Niveau CAP Pâtissier ou expérience équivalente,3 rue Caussette 31000 TOULOUSE,"Appliquer en test et comparer les résultats des différentes recettes
Réaliser différentes garnitures 
Choisir les matières premières et le type de garniture en fonction du parfum"
P0004,R0001,CAP Pâtissier – Approfondissement Pôle 1,16,"A l’issue de la formation les stagiaires seront capables
de maîtriser les bases des pâtes : feuilletées, levées et
levées feuilletées, tartes et tartelettes ainsi que des
petits fours et gâteaux de voyage.",Niveau CAP Pâtissier ou expérience équivalente,3 rue Caussette 31000 TOULOUSE,"Élaborer des croissants, pains au chocolat et roulés au
raisin, chaussons aux pommes et brioches (brioches
tressées, brioches à tête et pains au lait)
Élaborer des tartes : pâte sablée par sablage et
crémage, tarte au citron meringuée et tarte Bourdaloue
Élaborer des gâteaux de voyage et des petits fours :
cake au citron, diamant vanille, tuiles amandes
Identifier la technologie mise en œuvre pour chaque
phase de la production et chaque production
Organiser, regrouper des préparations, justifier et
optimiser la production
Discuter et argumenter sur le choix des matières
premières
Réaliser un buffet avec la présentation des produits en
fin de formation"
P0005,R0001,CAP Pâtissier – Approfondissement Pôle 2,16,"A l’issue de la formation les stagiaires seront capables de maitriser les bases des entremets : biscuits meringués, crémeux, croustillants et mousses ainsi que différentes pâtisseries individuelles à base de pâte à choux et de pâte feuilletée",Niveau CAP Pâtissier ou expérience équivalente,3 rue Caussette 31000 TOULOUSE,"Élaborer deux entremets : royal chocolat (dacquoise, croustillant et mousse chocolat) et bavarois (biscuit cuillère, insert fruit et crème bavaroise).
Élaborer des pâtisseries individuelles à base de pâte à choux ou pâte feuilletée : mille-feuille, éclairs, religieuses, salombos, cygnes, glands. Garnir de différentes crèmes : pâtissière, diplomate, mousseline. 
Identifier la technologie mise en œuvre pour chaque phase de la production et chaque production
Organiser, regrouper des préparations, justifier et optimiser la production
Discuter et argumenter sur le choix des matières premières Réaliser un buffet avec la présentation des produits en fin de formation."
P0006,R0001,CAP Pâtissier - UP1 : Petits fours,16,"A l’issue de la formation les stagiaires seront capables de créer une gamme de macarons, d’adapter les garnitures aux parfums, d’élaborer des macarons en petits fours, en individuel et en entremets.",Niveau CAP Pâtissier ou expérience équivalente,3 rue Caussette 31000 TOULOUSE,"Différencier les diverses manières de faire un macaron
Réaliser des macarons petits fours, individuel et entremets
Réaliser différentes garnitures à base de ganache, compotée, crème au beurre …
Choisir les matières premières et le type de garniture en fonction du parfum
Associer le calcul du coût de revient
Organiser et optimiser la production
Réaliser un buffet avec la présentation des produits en fin de formation"
P0007,R0001,Ma nouvelle gamme pâtissière - Master class Jonathan MOUGEL,16,"A l’issue de la formation les stagiaires seront capables
de créer une gamme de pâtisserie innovante, associer
des parfums, élaborer et décliner des pâtisseries fines
et raffinées en individuel et en entremets.",Niveau CAP Pâtissier ou expérience équivalente,3 rue Caussette 31000 TOULOUSE,"Elaborer en un temps limité une gamme de
5 pâtisseries choisies par le MOF, en fonction de sa
spécialité et des tendances de la pâtisserie
Comprendre la technologie mise en œuvre pour
chaque phase de la production et chaque production
Organiser, regrouper des préparations, justifier et
optimiser la production
Décliner les modèles en individuel ou en entremets
Discuter et argumenter sur le choix des matières
premières
Réaliser un buffet avec la présentation des produits
en fin de formation"
P0008,R0001,CAP Pâtissier - UP2 : Entremets,16,"A l’issue de la formation les stagiaires seront capables de créer une gamme d'entremets, d’adapter les garnitures aux parfums, d’élaborer des inserts et croustillants.",Niveau CAP Pâtissier ou expérience équivalente,3 rue Caussette 31000 TOULOUSE,"Différencier les differentes mousses et crèmes
Réaliser des entremets en individuel et à partager
Réaliser différents inserts à base de fruits frais, compotée, crémeux
Choisir les matières premières et le type de garniture en fonction du parfum
Associer le calcul du coût de revient
Organiser et optimiser la production
Réaliser un buffet avec la présentation des produits en fin de formation"
